postcode,region_id,city,region
133006,497,Ambala Cantt,Haryana
133302,497,Panchkula,Haryana
134002,497,Ambala Cantt,Haryana
134003,497,Ambala Cantt,Haryana
134007,497,Ambala Cantt,Haryana
134101,497,Panchkula,Haryana
134102,497,Panchkula,Haryana
134108,497,Panchkula,Haryana
134109,497,Panchkula,Haryana
134112,497,Panchkula,Haryana
134113,497,Panchkula,Haryana
134115,497,Panchkula,Haryana
134116,490,Chandigarh,Chandigarh
135001,497,Yamuna Nagar,Haryana
135002,497,Yamuna Nagar,Haryana
135003,497,Yamuna Nagar,Haryana
136027,497,Kaithal,Haryana
136118,497,Kurukshetra,Haryana
136119,497,Kurukshetra,Haryana
136128,497,Kurukshetra,Haryana
136131,497,Kurukshetra,Haryana
136135,497,Shahabad Markanda,Haryana
140001,512,Ropar,Punjab
140105,512,Zirakpur,Punjab
140124,512,Nangal,Punjab
140126,512,Nangal,Punjab
140301,512,Chandigarh,Punjab
140401,512,Rajpura,Punjab
140501,497,Ambala Cantt,Haryana
140601,512,Rajpura,Punjab
140603,512,Zirakpur,Punjab
141001,512,Ludhiana,Punjab
141002,512,Ludhiana,Punjab
141003,512,Ludhiana,Punjab
141004,512,Ludhiana,Punjab
141005,512,Ludhiana,Punjab
141006,512,Ludhiana,Punjab
141007,512,Ludhiana,Punjab
141008,512,Ludhiana,Punjab
141009,512,Ludhiana,Punjab
141010,512,Ludhiana,Punjab
141011,512,Ludhiana,Punjab
141012,512,Ludhiana,Punjab
141013,512,Ludhiana,Punjab
141014,512,Ludhiana,Punjab
141015,512,Ludhiana,Punjab
141017,512,Ludhiana,Punjab
141304,512,Phagwara,Punjab
141309,512,Jalandhar,Punjab
141310,512,Nakodar,Punjab
141401,512,Khanna,Punjab
141402,512,Khanna,Punjab
142001,512,Moga,Punjab
142021,512,Ludhiana,Punjab
142026,512,Moga,Punjab
142027,512,Ludhiana,Punjab
143001,512,Amritsar,Punjab
143002,512,Amritsar,Punjab
143003,512,Amritsar,Punjab
143004,512,Amritsar,Punjab
143005,512,Amritsar,Punjab
143006,512,Amritsar,Punjab
143021,512,Amritsar,Punjab
143101,512,Amritsar,Punjab
143104,512,Amritsar,Punjab
143105,512,Amritsar,Punjab
143106,512,Amritsar,Punjab
143501,512,Amritsar,Punjab
143505,512,Amritsar,Punjab
143521,512,Pathankot,Punjab
144001,512,Jalandhar,Punjab
144002,512,Jalandhar,Punjab
144003,512,Jalandhar,Punjab
144004,512,Jalandhar,Punjab
144005,512,Jalandhar,Punjab
144006,512,Jalandhar,Punjab
144007,512,Jalandhar,Punjab
144008,512,Jalandhar,Punjab
144009,512,Jalandhar,Punjab
144011,512,Jalandhar,Punjab
144021,512,Jalandhar,Punjab
144022,512,Jalandhar,Punjab
144023,512,Jalandhar,Punjab
144027,512,Jalandhar,Punjab
144033,512,Nakodar,Punjab
144039,512,Nakodar,Punjab
144040,512,Nakodar,Punjab
144041,512,Nakodar,Punjab
144203,512,Tanda,Punjab
144204,512,Tanda,Punjab
144401,512,Phagwara,Punjab
144402,512,Phagwara,Punjab
144409,512,Goraya,Punjab
144410,512,Goraya,Punjab
144411,512,Phagwara,Punjab
144416,512,Goraya,Punjab
144505,512,Banga,Punjab
144506,512,Banga,Punjab
144507,512,Banga,Punjab
144508,512,Banga,Punjab
144514,512,Nawanshahar,Punjab
144515,512,Banga,Punjab
144517,512,Nawanshahar,Punjab
144524,512,Banga,Punjab
144526,512,Banga,Punjab
144527,512,Nawanshahar,Punjab
144528,512,Banga,Punjab
144601,512,Kapurthala,Punjab
144801,512,Jalandhar,Punjab
144802,512,Kapurthala,Punjab
145001,512,Pathankot,Punjab
146001,512,Hoshiarpur,Punjab
146021,512,Hoshiarpur,Punjab
146022,512,Hoshiarpur,Punjab
146023,512,Hoshiarpur,Punjab
146024,512,Hoshiarpur,Punjab
146111,512,Hoshiarpur,Punjab
147001,512,Patiala,Punjab
147002,512,Patiala,Punjab
147003,512,Patiala,Punjab
147004,512,Patiala,Punjab
147005,512,Patiala,Punjab
147103,512,Patiala,Punjab
147201,512,Patiala,Punjab
147301,512,Mandi Gobindgarh,Punjab
148001,512,Patiala,Punjab
148023,512,Ludhiana,Punjab
148026,512,Patiala,Punjab
148101,512,Bhatinda,Punjab
151001,512,Bhatinda,Punjab
151002,512,Bhatinda,Punjab
151003,512,Bhatinda,Punjab
151004,512,Bhatinda,Punjab
151005,512,Bhatinda,Punjab
151203,512,Bhatinda,Punjab
151204,512,Bhatinda,Punjab
151505,512,Bhatinda,Punjab
152001,512,Firozepur,Punjab
152002,512,Firozepur,Punjab
152026,512,Muktsar,Punjab
152107,512,Bhatinda,Punjab
152116,512,Bhatinda,Punjab
160001,490,Chandigarh,Chandigarh
160002,490,Chandigarh,Chandigarh
160003,490,Chandigarh,Chandigarh
160004,512,Zirakpur,Punjab
160005,490,Chandigarh,Chandigarh
160006,490,Chandigarh,Chandigarh
160007,490,Chandigarh,Chandigarh
160008,490,Chandigarh,Chandigarh
160009,490,Chandigarh,Chandigarh
160010,490,Chandigarh,Chandigarh
160011,490,Chandigarh,Chandigarh
160012,490,Chandigarh,Chandigarh
160013,490,Chandigarh,Chandigarh
160014,490,Chandigarh,Chandigarh
160015,490,Chandigarh,Chandigarh
160016,490,Chandigarh,Chandigarh
160017,490,Chandigarh,Chandigarh
160018,490,Chandigarh,Chandigarh
160019,497,Panchkula,Haryana
160020,497,Panchkula,Haryana
160021,490,Chandigarh,Chandigarh
160022,490,Chandigarh,Chandigarh
160023,490,Chandigarh,Chandigarh
160024,490,Chandigarh,Chandigarh
160025,490,Chandigarh,Chandigarh
160026,490,Chandigarh,Chandigarh
160027,497,Panchkula,Haryana
160028,497,Panchkula,Haryana
160029,497,Panchkula,Haryana
160030,490,Chandigarh,Chandigarh
160031,490,Chandigarh,Chandigarh
160032,490,Chandigarh,Chandigarh
160033,497,Panchkula,Haryana
160034,490,Chandigarh,Chandigarh
160035,490,Chandigarh,Chandigarh
160036,490,Chandigarh,Chandigarh
160037,490,Chandigarh,Chandigarh
160038,490,Chandigarh,Chandigarh
160039,490,Chandigarh,Chandigarh
160040,490,Chandigarh,Chandigarh
160041,490,Chandigarh,Chandigarh
160042,490,Chandigarh,Chandigarh
160043,490,Chandigarh,Chandigarh
160044,490,Chandigarh,Chandigarh
160045,490,Chandigarh,Chandigarh
160046,490,Chandigarh,Chandigarh
160047,490,Chandigarh,Chandigarh
160048,490,Chandigarh,Chandigarh
160049,490,Chandigarh,Chandigarh
160051,512,Chandigarh,Punjab
160052,512,Chandigarh,Punjab
160053,512,Chandigarh,Punjab
160054,512,Chandigarh,Punjab
160055,512,Chandigarh,Punjab
160056,512,Chandigarh,Punjab
160057,512,Chandigarh,Punjab
160058,512,Chandigarh,Punjab
160059,512,Chandigarh,Punjab
160061,512,Chandigarh,Punjab
160062,512,Chandigarh,Punjab
160071,512,Chandigarh,Punjab
160101,490,Chandigarh,Chandigarh
160102,490,Chandigarh,Chandigarh
160106,490,Chandigarh,Chandigarh
171001,498,Shimla,Himachal Pradesh
171002,498,Shimla,Himachal Pradesh
171003,498,Shimla,Himachal Pradesh
171004,498,Shimla,Himachal Pradesh
171005,498,Shimla,Himachal Pradesh
171009,498,Shimla,Himachal Pradesh
173205,498,Baddi,Himachal Pradesh
173212,498,Shimla,Himachal Pradesh
173213,498,Shimla,Himachal Pradesh
173214,498,Shimla,Himachal Pradesh
173220,498,Parwanoo,Himachal Pradesh
174103,498,Baddi,Himachal Pradesh
174303,498,Una,Himachal Pradesh
174315,498,Una,Himachal Pradesh
175001,498,Nanagal,Himachal Pradesh
176057,498,Dharamshala,Himachal Pradesh
176215,498,Dharamshala,Himachal Pradesh
176216,498,Dharamshala,Himachal Pradesh
